Number of Blocks,ErrorUB,ErrorLB
1.000000000000000000e+00,8.676736300353218301e-01,8.121889413522432877e-01
2.000000000000000000e+00,7.665170928550861795e-01,6.876416416654815844e-01
3.000000000000000000e+00,6.892413553587528607e-01,5.976483327753178143e-01
4.000000000000000000e+00,6.233636971643735647e-01,5.254324374189145441e-01
5.000000000000000000e+00,5.657163917284088184e-01,4.645063982661716273e-01
6.000000000000000000e+00,5.148322413203135772e-01,4.123629938648500914e-01
7.000000000000000000e+00,4.695420424714478180e-01,3.673985960267712181e-01
8.000000000000000000e+00,4.289723410221071287e-01,3.283163309200732849e-01
9.000000000000000000e+00,3.924626607691574232e-01,2.940989122957397006e-01
1.000000000000000000e+01,3.594890215620014651e-01,2.639674748869408893e-01
1.100000000000000000e+01,3.296227802996201661e-01,2.373151334994483552e-01
1.200000000000000000e+01,3.025063659506418978e-01,2.136553563004263412e-01
1.300000000000000000e+01,2.778369824982573344e-01,1.925895067761664026e-01
1.400000000000000000e+01,2.553551459127302303e-01,1.737860346140847612e-01
1.500000000000000000e+01,2.348363566176548400e-01,1.569659662586282423e-01
1.600000000000000000e+01,2.160848560472271862e-01,1.418922602581049741e-01
1.700000000000000000e+01,1.989288240817739251e-01,1.283618303959235818e-01
1.800000000000000000e+01,1.832166088685094618e-01,1.161994704764356123e-01
1.900000000000000000e+01,1.688137167962222018e-01,1.052531422355927476e-01
2.000000000000000000e+01,1.556003746767336549e-01,9.539025430277556228e-02
2.100000000000000000e+01,1.434695307720732504e-01,8.649467767079334346e-02
2.200000000000000000e+01,1.323251978238009219e-01,7.846432047056445258e-02
2.300000000000000000e+01,1.220810663595783691e-01,7.120913531665457041e-02
2.400000000000000000e+01,1.126593342503926370e-01,6.464946639023633201e-02
2.500000000000000000e+01,1.039897112177895072e-01,5.871466691555114747e-02
2.600000000000000000e+01,9.600856630132027780e-02,5.334193434216964735e-02
2.700000000000000000e+01,8.865819321256680763e-02,4.847532258446164699e-02
2.800000000000000000e+01,8.188617370925678485e-02,4.406489953310156749e-02
2.900000000000000000e+01,7.564482309177875119e-02,4.006602469376974868e-02
3.000000000000000000e+01,6.989070498353891492e-02,3.643872686089284080e-02
3.100000000000000000e+01,6.458420493919947436e-02,3.314716563020274342e-02
3.200000000000000000e+01,5.968915429847634901e-02,3.015916359178368727e-02
3.300000000000000000e+01,5.517249718980014178e-02,2.744579843693805907e-02
3.400000000000000000e+01,5.100399477754492816e-02,2.498104611090950361e-02
3.500000000000000000e+01,4.715596180550797600e-02,2.274146766216476184e-02
3.600000000000000000e+01,4.360303126816341551e-02,2.070593366195472296e-02
3.700000000000000000e+01,4.032194367801183316e-02,1.885538105912534790e-02
3.800000000000000000e+01,3.729135792136072797e-02,1.717259814345728497e-02
3.900000000000000000e+01,3.449168112865765023e-02,1.564203395380971487e-02
4.000000000000000000e+01,3.190491534661680367e-02,1.424962901422541575e-02
4.100000000000000000e+01,2.951451910164990325e-02,1.298266473472342065e-02
