# Plutus Core cost model benchmark results
# Started at 2026-08-10 04:30:35.730204072 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
EqualsByteString/200/300,1.0720387612960208e-6,1.0711285559223362e-6,1.0731255733735374e-6,3.2712020249354798e-9,2.7673629623126103e-9,3.984454202781582e-9
EqualsByteString/200/500,1.0741221439393949e-6,1.0731791808166075e-6,1.0750647771659667e-6,3.166733188859322e-9,2.60029806436356e-9,4.08318500120653e-9
EqualsByteString/200/700,1.0828863029450805e-6,1.0814039063704354e-6,1.0845107361452614e-6,5.60481109688845e-9,4.746392143671342e-9,6.8162722752518955e-9
EqualsByteString/200/900,1.0835310376556396e-6,1.0811724549634425e-6,1.0884339000615371e-6,1.0721636567818004e-8,6.034434070013744e-9,1.7796908091307254e-8
EqualsByteString/200/1100,1.079065689893455e-6,1.078302534829749e-6,1.0799645326853457e-6,2.8216072273880656e-9,2.259133077233489e-9,4.075334633247217e-9
EqualsByteString/200/1300,1.081490686519464e-6,1.0798233011528257e-6,1.0844284263765114e-6,7.3839116028012696e-9,4.87260910419079e-9,1.2023339851134258e-8
EqualsByteString/200/1500,1.078440134365547e-6,1.0775508585433597e-6,1.0793105665355317e-6,2.9652674203820976e-9,2.4465686006870394e-9,4.0828232843974116e-9
EqualsByteString/200/1700,1.0833837448105339e-6,1.082614999812761e-6,1.0841129628091896e-6,2.3807354418831715e-9,1.9451956259035175e-9,3.079230766893645e-9
EqualsByteString/400/300,1.085094382209049e-6,1.083793923727145e-6,1.0861517840528075e-6,3.98077900839553e-9,3.184230384415486e-9,6.0124162622432225e-9
EqualsByteString/400/500,1.0784098860025856e-6,1.0773092146542305e-6,1.0794648549794473e-6,3.600420194430931e-9,3.041555120778945e-9,4.29849002466132e-9
EqualsByteString/400/700,1.0801635320878326e-6,1.0791962858551384e-6,1.080846331100448e-6,2.7604764809038115e-9,2.0866535055586615e-9,3.906433058875424e-9
EqualsByteString/400/900,1.0971913979275679e-6,1.0962423077874726e-6,1.0981916570196506e-6,3.4879457213744997e-9,2.8603604118426885e-9,4.22955714116045e-9
EqualsByteString/400/1100,1.0820330720589813e-6,1.0806346379027572e-6,1.0831546100010132e-6,4.08661953199323e-9,3.2793145249868264e-9,5.516082354475935e-9
EqualsByteString/400/1300,1.080211164269854e-6,1.0794590110166299e-6,1.0809971651620292e-6,2.5831190100239154e-9,2.1405064068976236e-9,3.7247038813570672e-9
