# Plutus Core cost model benchmark results
# Started at 2026-09-07 11:56:11.237627351 UTC
benchmark,t,t.mean.lb,t.mean.ub,t.sd,t.sd.lb,t.sd.ub
Bls12_381_poseidonPermutation/0/1,2.1791802920941535e-5,2.1756225559080318e-5,2.1830062489790912e-5,1.2726230204948547e-7,1.1530025282624045e-7,1.432120103329078e-7
Bls12_381_poseidonPermutation/0/3,2.3221126680311772e-5,2.3185725504022716e-5,2.3257254659998355e-5,1.1868550146165798e-7,1.0710462119779112e-7,1.2885229426377324e-7
Bls12_381_poseidonPermutation/0/5,2.3881830701409824e-5,2.3865612823417035e-5,2.3898310790645685e-5,5.470617419588359e-8,4.507805653441708e-8,7.572706128936444e-8
Bls12_381_poseidonPermutation/0/7,2.357411002814049e-5,2.356061699602391e-5,2.359245859170719e-5,5.34350152457912e-8,4.0402064740222404e-8,8.018528628099416e-8
Bls12_381_poseidonPermutation/0/9,2.366876543418303e-5,2.363526692046146e-5,2.370123292111586e-5,1.1387512179036484e-7,1.0453308734335444e-7,1.2666970571390427e-7
Bls12_381_poseidonPermutation/0/11,2.342411761618407e-5,2.340732289594954e-5,2.3444475797272957e-5,6.15986471732349e-8,5.104381963898834e-8,7.903266098860515e-8
Bls12_381_poseidonPermutation/0/13,2.3674613598446844e-5,2.364396989077825e-5,2.3707071167367886e-5,1.0375363102904364e-7,8.803562326826794e-8,1.239752353116054e-7
Bls12_381_poseidonPermutation/0/15,2.366140862799661e-5,2.364466236285308e-5,2.367521620285213e-5,5.409569151784878e-8,3.6944224496164546e-8,7.741541031436299e-8
Bls12_381_poseidonPermutation/0/17,2.3692462615626294e-5,2.3663938273568107e-5,2.3734185142767152e-5,1.1302821649337519e-7,9.324508008496889e-8,1.3469575354928557e-7
Bls12_381_poseidonPermutation/0/19,2.3874997306530998e-5,2.3839701896781023e-5,2.391017125568928e-5,1.1693393326852234e-7,9.894344037836384e-8,1.6056566042855335e-7
Bls12_381_poseidonPermutation/0/21,2.377993431273744e-5,2.3733246907736056e-5,2.3827144703557483e-5,1.561077773012478e-7,1.310951504143993e-7,1.991280064454686e-7
Bls12_381_poseidonPermutation/0/23,2.3668069056092748e-5,2.3634161844172793e-5,2.370258334126222e-5,1.1659051376511486e-7,9.997243809398833e-8,1.402290345941384e-7
Bls12_381_poseidonPermutation/0/25,2.3794335699825925e-5,2.376085730268319e-5,2.3824131130747565e-5,1.0429529807603388e-7,8.975135321485566e-8,1.2509199122483432e-7
Bls12_381_poseidonPermutation/0/27,2.408638671932366e-5,2.405774216977014e-5,2.4109992744699444e-5,8.62453562755358e-8,6.915519882726724e-8,1.0413244836181611e-7
Bls12_381_poseidonPermutation/0/29,2.4017486717798342e-5,2.3983274505786056e-5,2.4061200955717872e-5,1.315552406892457e-7,1.1543589843132683e-7,1.6121643571841136e-7
Bls12_381_poseidonPermutation/0/31,2.402586318348742e-5,2.398853937386892e-5,2.4067461309490223e-5,1.3061856867299897e-7,1.1730745861406891e-7,1.546387099909576e-7
Bls12_381_poseidonPermutation/1/1,2.0689786643703953e-5,2.0659245468319892e-5,2.073837699850788e-5,1.2714541535730212e-7,9.019339482840451e-8,2.0873596998605463e-7
Bls12_381_poseidonPermutation/1/3,2.1811563366864642e-5,2.1778409929032336e-5,2.1850485115056218e-5,1.1981752021388307e-7,1.0500222995931988e-7,1.393176824053311e-7
Bls12_381_poseidonPermutation/1/5,2.251345202463497e-5,2.2490856490552814e-5,2.2547488155417e-5,9.407627221321857e-8,7.94520729723294e-8,1.152235904099233e-7
Bls12_381_poseidonPermutation/1/7,2.2560782589821896e-5,2.2547649848005116e-5,2.2576578508443453e-5,4.937320836072418e-8,3.463007611930253e-8,7.089873943467912e-8
Bls12_381_poseidonPermutation/1/9,2.264114054798154e-5,2.2619602181931986e-5,2.265657699232753e-5,6.272422506744542e-8,4.766268487304653e-8,8.143446810772216e-8
Bls12_381_poseidonPermutation/1/11,2.252061265293082e-5,2.2487468062195658e-5,2.2548166957975506e-5,9.989172089487037e-8,7.919355560534341e-8,1.2542904048961137e-7
Bls12_381_poseidonPermutation/1/13,2.2621820406532727e-5,2.2596056495744174e-5,2.2651093289720818e-5,9.20023471703927e-8,7.775839969593855e-8,1.1310599418915527e-7
Bls12_381_poseidonPermutation/1/15,2.2558259951119908e-5,2.2538243034471806e-5,2.257318259694087e-5,5.4255994180820766e-8,4.0086897611673365e-8,8.659141415023545e-8
